,heartrate,steps_window_12
2024-12-14 19:40:00,0.140857141725777,0.09532641015085783
2024-12-14 19:50:00,0.2035171557760254,0.08842985751208184
2024-12-14 20:00:00,0.26098681962531295,0.07989927846411933
2024-12-14 20:10:00,0.40489991976646134,0.05899335234657599
2024-12-14 20:20:00,0.41268892915497113,0.05464796348881092
2024-12-14 20:30:00,0.5048066253286824,0.03964936323781534
2024-12-14 20:40:00,0.47261366082818373,0.03964936323781534
2024-12-14 23:20:00,0.4275796823977101,0.03964936323781534
2024-12-15 00:10:00,0.42218490632411104,0.035612356815117555
2024-12-15 00:20:00,0.4069100422689773,0.034603105209443034
2024-12-15 01:30:00,0.39388816898787604,0.034603105209443034
2024-12-15 01:40:00,0.4895369694789226,0.0005408635179291577
2024-12-15 02:40:00,0.49884684736184975,-0.013336346060094904
2024-12-15 02:50:00,0.46183096683131825,-0.01464463517856203
2024-12-15 04:10:00,0.49210682220987506,-0.023260653515893858
2024-12-15 04:20:00,0.4818018582923667,-0.02595199113102611
2024-12-15 05:00:00,0.42174008296139476,-0.01950399476143903
2024-12-15 05:10:00,0.3187807788358582,0.030397890185799296
2024-12-15 06:30:00,0.21697524267528548,0.07329108342696464
2024-12-15 08:10:00,0.22963539725413015,0.07329108342696464
2024-12-15 08:20:00,0.21134276574020427,0.08758881450735298
2024-12-15 08:30:00,0.21837044338397388,0.10188654558774161
2024-12-15 09:00:00,0.21909388078847883,0.10188654558774161
2024-12-15 10:10:00,0.24224387773265948,0.10188654558774161
2024-12-15 10:30:00,0.23717981590111875,0.10188654558774161
2024-12-15 11:30:00,0.21818958403284558,0.10188654558774161
2024-12-15 11:40:00,0.21113606933891832,0.10188654558774161
2024-12-15 12:10:00,0.16597290565763997,0.1128201046492154
2024-12-15 12:40:00,0.16524946825313297,0.1128201046492154
2024-12-15 13:00:00,0.16886665527566178,0.1128201046492154
2024-12-15 13:50:00,0.17740321664882747,0.1128201046492154
2024-12-15 14:00:00,0.19129321481533546,0.1128201046492154
